related_ticker,ticker
CHTR,CMCSA
VZ,CMCSA
T,CMCSA
TMUS,CMCSA
VOD,CMCSA
ATUS,CMCSA
LUMN,CMCSA
LBRDK,CMCSA
TU,CMCSA
RCI,CMCSA
CAVA,CMG
SBUX,CMG
MCD,CMG
BROS,CMG
SHAK,CMG
SG,CMG
DPZ,CMG
WING,CMG
TXRH,CMG
WEN,CMG
MCO,COIN
SPGI,COIN
CME,COIN
MSCI,COIN
ICE,COIN
NDAQ,COIN
TRU,COIN
CBOE,COIN
BTOG,COIN
0388.HK,COIN
NOW,CRM
ADBE,CRM
SNOW,CRM
UBER,CRM
SHOP,CRM
APP,CRM
WDAY,CRM
TTD,CRM
INTU,CRM
ZM,CRM
PANW,CRWD
CRWV,CRWD
PLTR,CRWD
ZS,CRWD
MSFT,CRWD
NET,CRWD
ORCL,CRWD
FTNT,CRWD
OKTA,CRWD
XYZ,CRWD
CBRE,CSGP
JLL,CSGP
RDFN,CSGP
NMRK,CSGP
CIGI,CSGP
BEKE,CSGP
COMP,CSGP
FSV,CSGP
CWK,CSGP
SEG,CSGP
KMX,CVNA
GPI,CVNA
AN,CVNA
VRM,CVNA
CARG,CVNA
LAD,CVNA
ACVA,CVNA
CWH,CVNA
PAG,CVNA
ABG,CVNA
MGM,CZR
LVS,CZR
WYNN,CZR
PENN,CZR
RRR,CZR
MLCO,CZR
BYD,CZR
HGV,CZR
BALY,CZR
VAC,CZR
YJ3A.SG,DANOY
NHCFOODS.BO,DANOY
BRCNF,DANOY
WLMIY,DANOY
GRBMF,DANOY
BMBOY,DANOY
NESM.DU,DANOY
OKL.F,DANOY
CENTA,DANOY
600887.SS,DANOY
SPOT,DASH
PINS,DASH
RDDT,DASH
SNAP,DASH
Z,DASH
BIDU,DASH
NBIS,DASH
BILI,DASH
META,DASH
GOOGL,DASH
BF-B,DEO
MGPI,DEO
RI.PA,DEO
BF-A,DEO
PRNDY,DEO
CPR.MI,DEO
RCO.PA,DEO
REMYY,DEO
SNDL,DEO
PDRDF,DEO
COF,DFS
AXP,DFS
MA,DFS
V,DFS
COF-PK,DFS
SYF,DFS
SOFI,DFS
ALLY,DFS
