Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1994-10-31 00:00:00-05:00,6.395114826976805,6.49275016784668,6.395114826976805,6.49275016784668,1984200,0.0,0.0
1994-11-01 00:00:00-05:00,6.492747801722902,6.492747801722902,6.3951124964338355,6.443930149078369,2176400,0.0,0.0
1994-11-02 00:00:00-05:00,6.443931128232534,6.443931128232534,6.395113468170166,6.395113468170166,2348200,0.0,0.0
1994-11-03 00:00:00-05:00,6.395113468170166,6.443931128232534,6.346295808107798,6.395113468170166,2060800,0.0,0.0
1994-11-04 00:00:00-05:00,6.395113013340876,6.443930669931265,6.346295356750488,6.346295356750488,2663800,0.0,0.0
1994-11-07 00:00:00-05:00,6.297479629516602,6.297479629516602,6.248661957969961,6.297479629516602,1049400,0.0,0.0
1994-11-08 00:00:00-05:00,6.297477302097139,6.297477302097139,6.151024341583252,6.151024341583252,5761000,0.0,0.0
1994-11-09 00:00:00-05:00,6.199843376874924,6.2974787056446075,6.199843376874924,6.248661041259766,2480000,0.0,0.0
1994-11-10 00:00:00-05:00,6.248661957969961,6.297479629516602,6.248661957969961,6.297479629516602,1956000,0.0,0.0
1994-11-11 00:00:00-05:00,6.2974787056446075,6.2974787056446075,6.248661041259766,6.248661041259766,1300200,0.0,0.0
1994-11-14 00:00:00-05:00,6.199841499328613,6.199841499328613,6.151023849727601,6.199841499328613,1419200,0.0,0.0
1994-11-15 00:00:00-05:00,6.199841995087882,6.199841995087882,6.151024341583252,6.151024341583252,3118800,0.0,0.0
1994-11-16 00:00:00-05:00,6.151024341583252,6.199841995087882,6.151024341583252,6.151024341583252,813400,0.0,0.0
1994-11-17 00:00:00-05:00,6.151023399353027,6.151023399353027,6.053388107299805,6.102205753326416,1477600,0.0,0.0
1994-11-18 00:00:00-05:00,6.1022052841801795,6.1022052841801795,6.004569999633297,6.053387641906738,2452600,0.0,0.0
1994-11-21 00:00:00-05:00,6.05339206348766,6.05339206348766,5.9069390296936035,5.9069390296936035,3276000,0.0,0.0
1994-11-22 00:00:00-05:00,5.906935239038547,5.9557528856421715,5.809299945831299,5.809299945831299,2725000,0.0,0.0
1994-11-23 00:00:00-05:00,5.809302298227946,5.858119964599609,5.7116669654846195,5.858119964599609,2634200,0.0,0.0
1994-11-25 00:00:00-05:00,5.858119964599609,5.858119964599609,5.858119964599609,5.858119964599609,640800,0.0,0.0
1994-11-28 00:00:00-05:00,5.858121351762252,5.9069390296936035,5.809303673830899,5.9069390296936035,1583400,0.0,0.0
1994-11-29 00:00:00-05:00,5.906937630971273,5.906937630971273,5.809302298227946,5.858119964599609,1056400,0.0,0.0
1994-11-30 00:00:00-05:00,5.858119964599609,5.858119964599609,5.809302298227946,5.858119964599609,1086800,0.0,0.0
1994-12-01 00:00:00-05:00,5.858117592434923,5.858117592434923,5.809299945831299,5.809299945831299,979000,0.0,0.0
1994-12-02 00:00:00-05:00,5.809302298227946,5.858119964599609,5.760484631856283,5.858119964599609,1257200,0.0,0.0
1994-12-05 00:00:00-05:00,5.858117592434923,5.906935239038547,5.809299945831299,5.809299945831299,1071200,0.0,0.0
1994-12-06 00:00:00-05:00,5.809299945831299,5.809299945831299,5.760482299227674,5.809299945831299,1819200,0.0,0.0
1994-12-07 00:00:00-05:00,5.80930091971058,5.80930091971058,5.711665610135612,5.760483264923096,1223400,0.0,0.0
1994-12-08 00:00:00-05:00,5.760483264923096,5.80930091971058,5.760483264923096,5.760483264923096,1178400,0.0,0.0
