Date,Close,Dividends,High,Low,Open,Volume,Stock Splits
2006-05-10 00:00:00-04:00,668.7789306640625,0.0,687.2515826465127,668.7789306640625,687.2515826465127,37,0.0
2006-05-11 00:00:00-04:00,650.9904174804688,0.0,650.9904174804688,649.9641241848971,650.3062568366637,338,0.0
2006-05-12 00:00:00-04:00,636.2807006835938,0.0,636.2807006835938,632.8598451417246,632.8598451417246,56,0.0
2006-05-15 00:00:00-04:00,630.8073120117188,0.0,630.8073120117188,609.2558854285321,609.2558854285321,509,0.0
2006-05-16 00:00:00-04:00,627.3863525390625,0.0,634.2280625017162,617.4658155303737,634.2280625017162,542,0.0
2006-05-17 00:00:00-04:00,624.9918823242188,0.0,632.8598872246166,624.9918823242188,632.8598872246166,70,0.0
2006-05-18 00:00:00-04:00,614.7291870117188,0.0,666.7263348284021,614.7291870117188,666.7263348284021,100,0.0
2006-05-19 00:00:00-04:00,631.83349609375,0.0,631.83349609375,615.75546076677,619.8604765888039,48,0.0
2006-05-22 00:00:00-04:00,619.8604736328125,0.0,619.8604736328125,615.4133775409715,615.7554578303548,37,0.0
2006-05-23 00:00:00-04:00,615.7554321289062,0.0,615.7554321289062,615.7554321289062,615.7554321289062,6,0.0
2006-05-24 00:00:00-04:00,616.7817993164062,0.0,616.7817993164062,613.3609435346581,613.3609435346581,7,0.0
2006-05-25 00:00:00-04:00,619.5184326171875,0.0,622.9392880577406,598.6511673329376,615.7554968655654,214,0.0
2006-05-26 00:00:00-04:00,621.2288818359375,0.0,624.3076569422948,621.2288818359375,624.3076569422948,50,0.0
2006-05-30 00:00:00-04:00,613.7029418945312,0.0,621.2288654728743,574.3630271650918,574.3630271650918,211,0.0
2006-05-31 00:00:00-04:00,612.3345947265625,0.0,617.807931616117,612.3345947265625,617.807931616117,73,0.0
2006-06-01 00:00:00-04:00,626.0180053710938,0.0,626.0180053710938,580.520543252907,580.520543252907,142,0.0
2006-06-02 00:00:00-04:00,618.150146484375,0.0,623.9656167625977,616.7817728325115,622.2551627802347,72,0.0
2006-06-05 00:00:00-04:00,612.6766967773438,0.0,619.1763270826041,581.2047338125828,581.2047338125828,61,0.0
2006-06-06 00:00:00-04:00,613.018798828125,0.0,617.4658951785331,611.6504252611718,611.6504252611718,26,0.0
