Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-11-18 00:00:00-05:00,26.30318219849525,27.04718775636749,25.46899510436616,25.69445037841797,457044300,0.0,0.0
2010-11-19 00:00:00-05:00,25.664386520023932,25.927417141397562,24.882805721058343,25.747051239013672,107842000,0.0,0.0
2010-11-22 00:00:00-05:00,25.701961683601777,25.912386178818224,25.408869603316376,25.611780166625977,36650600,0.0,0.0
2010-11-23 00:00:00-05:00,25.514082146850082,25.544143608463596,24.9429258434684,24.988018035888672,31170200,0.0,0.0
2010-11-24 00:00:00-05:00,25.348751373193664,25.401357506735906,24.96547770498317,25.160871505737305,26138000,0.0,0.0
2010-11-26 00:00:00-05:00,25.108265514554223,25.4088744509165,24.957961046373082,25.401357650756836,12301200,0.0,0.0
2010-11-29 00:00:00-05:00,25.401357650756836,25.4088744509165,24.85274877869207,25.401357650756836,27776900,0.0,0.0
2010-11-30 00:00:00-05:00,25.198445818235378,25.739540730536817,25.070688889952617,25.70196533203125,57476900,0.0,0.0
2010-12-01 00:00:00-05:00,26.04015432744844,26.26560962577906,25.867302303014654,26.137849807739258,34633200,0.0,0.0
2010-12-02 00:00:00-05:00,26.243059531265853,26.288151733264712,25.934936651322104,26.06269645690918,23196100,0.0,0.0
2010-12-03 00:00:00-05:00,25.964990615844727,26.002566006575385,25.5291109230957,25.964990615844727,19395200,0.0,0.0
2010-12-06 00:00:00-05:00,25.91239356994629,26.137848860102952,25.85978743113705,25.91239356994629,11676500,0.0,0.0
2010-12-07 00:00:00-05:00,26.115302592498157,26.220514863676115,25.897361249732747,26.06269645690918,20823000,0.0,0.0
2010-12-08 00:00:00-05:00,26.0100859721321,26.10026749423104,25.799661464961606,25.889842987060547,12603900,0.0,0.0
2010-12-09 00:00:00-05:00,25.8222111355692,25.87481727256187,25.266085430021672,25.35626983642578,18402200,0.0,0.0
2010-12-10 00:00:00-05:00,25.438935021576498,25.54415016422667,25.19844900058654,25.408876419067383,11741700,0.0,0.0
2010-12-13 00:00:00-05:00,25.52160065193789,25.58923751927844,25.32620685007591,25.401357650756836,11029300,0.0,0.0
2010-12-14 00:00:00-05:00,25.3487530395698,25.491540716168274,25.138328491567957,25.468996047973633,15165600,0.0,0.0
2010-12-15 00:00:00-05:00,25.408870346612368,25.559171923695953,25.25856590270996,25.25856590270996,10182700,0.0,0.0
2010-12-16 00:00:00-05:00,25.228504440565715,25.446445740883263,25.220990508439062,25.25856590270996,9885700,0.0,0.0
2010-12-17 00:00:00-05:00,25.19845113232184,25.551666259765625,24.942934355051396,25.551666259765625,35681600,0.0,0.0
2010-12-20 00:00:00-05:00,25.484030743133566,25.589243033486703,25.35627378108187,25.371301651000977,12476400,0.0,0.0
2010-12-21 00:00:00-05:00,25.446453034620525,25.506573109322463,25.341240753777406,25.438936233520508,9012400,0.0,0.0
2010-12-22 00:00:00-05:00,25.341241749327203,26.265610510388672,25.198451191013643,26.24306297302246,20935100,0.0,0.0
2010-12-23 00:00:00-05:00,26.05517763141078,26.693970876058412,26.017602232741893,26.16039276123047,20529200,0.0,0.0
