ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
GYRO,2020-03-26,2019,FY,2019-01-01,2019-12-31,https://api.polygon.io/v1/reference/sec/filings/0001437749-20-006207,,,,,,,,,,,,,,,,,,,,,3780068.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GYRO,2019-11-14,2019,Q1,2019-01-01,2019-09-30,https://api.polygon.io/v1/reference/sec/filings/0001437749-19-022787,,,,,,,,,,,,,,,,,,,,,3280068.0,,,,,,,,,,,,,25818.0,0.0,,,,0.0,,,,,,,,,,,,25818.0,25818.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GYRO,2019-03-28,2018,FY,2018-01-01,2018-12-31,https://api.polygon.io/v1/reference/sec/filings/0001437749-19-005881,,,,,,,,,,,,,,,,,,,,,1100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GYRO,2018-11-09,2018,Q1,2018-01-01,2018-09-30,https://api.polygon.io/v1/reference/sec/filings/0001437749-18-020222,,,,,,,,,,,,,,,,,,,,,1100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GYRO,2018-03-29,2017,FY,2017-01-01,2017-12-31,https://api.polygon.io/v1/reference/sec/filings/0001437749-18-005759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GYRO,2017-03-31,2016,FY,2016-01-01,2016-12-31,https://api.polygon.io/v1/reference/sec/filings/0001437749-17-005720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GYRO,2016-11-14,2016,Q1,2016-01-01,2016-09-30,https://api.polygon.io/v1/reference/sec/filings/0001437749-16-042014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18261000.0,0.0,,,,0.0,,,,,,,,,,,,-18261000.0,-18261000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GYRO,2016-03-30,2015,FY,2015-01-01,2015-12-31,https://api.polygon.io/v1/reference/sec/filings/0001437749-16-028641,58334819.0,58334819.0,,64393.0,,,58270426.0,0.0,,,,,,14879242.0,14879242.0,,,,,0.0,,,,,,,,,,,,,58334819.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GYRO,2015-11-23,2015,Q3,2015-07-01,2015-09-30,https://api.polygon.io/v1/reference/sec/filings/0001437749-15-021358,56095591.0,56095591.0,,50024.0,,,56045567.0,0.0,,,,,,9772728.0,9772728.0,,,,,0.0,,,,,,,,,,,,,56095591.0,,,,,,,,,,,,,,,,,,,,,,,,,,99500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GYRO,2015-08-14,2015,Q2,2015-04-01,2015-06-30,https://api.polygon.io/v1/reference/sec/filings/0001437749-15-015769,47249791.0,47249791.0,,22149.0,,,47227642.0,0.0,,11203398.0,,,,21344175.0,21344175.0,,,,,0.0,,,,,,,,25905616.0,14332862.0,11572754.0,,,47249791.0,623353.0,1563352.0,,,,1371997.0,,,,1371997.0,,,,,-748644.0,,-939999.0,-988399.0,-939999.0,142339.0,,142339.0,,,,48400.0,48400.0,,,28651.0,220006.0,-191355.0,-191355.0,,,0.0,-846060.0,-771094.0,,-74966.0,,-74966.0,0.0,,0.0,,,,,,-1044430.0,-1044430.0,,56928.0,56928.0,,,,,,4636822.0,4636822.0,,-2452905.0,771094.0,-1681811.0,-1606845.0,,-1606845.0
GYRO,2015-05-15,2015,Q1,2015-01-01,2015-03-31,https://api.polygon.io/v1/reference/sec/filings/0001437749-15-010423,43297625.0,43297625.0,,64053.0,,,43233572.0,0.0,,32518151.0,,,,20563428.0,20563428.0,,,,,0.0,,,,,,,,22734197.0,15103956.0,7630241.0,,,43297625.0,1258751.0,2001168.0,,,,1812537.0,,,,1812537.0,,,,,-553786.0,,-742417.0,-764517.0,-742417.0,128912.0,,128912.0,,,,22100.0,22100.0,,,30534.0,219165.0,-188631.0,-188631.0,,,0.0,-764517.0,-701592.0,,-62925.0,,-62925.0,0.0,,0.0,,,,,,-731383.0,-731383.0,,78708.0,78708.0,,,,,,-652675.0,-652675.0,,-723414.0,701592.0,-21822.0,41103.0,,41103.0
